subject	who	net	comparison	value
0	model	2	1	0.0
1	model	2	1	0.0
2	model	2	1	0.0
3	model	2	1	0.0
4	model	2	1	0.0
5	model	2	1	0.0
6	model	2	1	0.0
7	model	2	1	0.0
8	model	2	1	0.0
9	model	2	1	0.0
10	model	2	1	0.0
11	model	2	1	0.0
12	model	2	1	0.0
13	model	2	1	0.0
14	model	2	1	0.0
15	model	2	1	0.0
16	model	2	1	0.0
17	model	2	1	0.0
18	model	2	1	0.0
19	model	2	1	0.0
20	model	2	1	0.0
21	model	2	1	0.0
22	model	2	1	0.0
23	model	2	1	0.0
24	model	2	1	0.0
0	model	2	0.5	-0.004445568727839855
1	model	2	0.5	-0.042173372429034184
2	model	2	0.5	-0.05876844268285952
3	model	2	0.5	-0.05725416351041557
4	model	2	0.5	-0.026407616930616107
5	model	2	0.5	-0.04626202417575076
6	model	2	0.5	-0.06424159002173424
7	model	2	0.5	-0.03840285498591245
8	model	2	0.5	-0.04030189685883212
9	model	2	0.5	-0.008620879552608818
10	model	2	0.5	-0.047565859244553366
11	model	2	0.5	-0.04725699399339023
12	model	2	0.5	-0.037837681828188585
13	model	2	0.5	-0.025716437637767875
14	model	2	0.5	-0.038904994480591815
15	model	2	0.5	-0.04210266726548362
16	model	2	0.5	-0.029707804636492474
17	model	2	0.5	-0.04898102465183363
18	model	2	0.5	-0.04355011865990899
19	model	2	0.5	-0.009125454534142374
20	model	2	0.5	-0.04250213522668833
21	model	2	0.5	-0.04287744493086121
22	model	2	0.5	-0.02469521276381259
23	model	2	0.5	-0.02422289128067623
24	model	2	0.5	-0.05100576947438429
0	model	2	0.4	-0.01858277061737368
1	model	2	0.4	-0.04764607684055089
2	model	2	0.4	-0.07613014445452859
3	model	2	0.4	-0.08113214486996911
4	model	2	0.4	-0.041144735783305464
5	model	2	0.4	-0.07699294125781475
6	model	2	0.4	-0.08693164586613411
7	model	2	0.4	-0.060122027976954207
8	model	2	0.4	-0.07069163680948798
9	model	2	0.4	-0.03704946088232519
10	model	2	0.4	-0.06482727992656412
11	model	2	0.4	-0.09058414613671095
12	model	2	0.4	-0.06727764115912671
13	model	2	0.4	-0.03481344339237358
14	model	2	0.4	-0.062417628404480396
15	model	2	0.4	-0.07215554488531295
16	model	2	0.4	-0.054780872099120304
17	model	2	0.4	-0.06121427125878498
18	model	2	0.4	-0.06639876848799708
19	model	2	0.4	-0.01146104043977103
20	model	2	0.4	-0.07728559944144608
21	model	2	0.4	-0.0630174030319729
22	model	2	0.4	-0.03202036829649324
23	model	2	0.4	-0.04156828414744418
24	model	2	0.4	-0.049443979467411525
0	model	2	0.1	-0.0821604327133787
1	model	2	0.1	-0.17881891543429962
2	model	2	0.1	-0.29654310125642236
3	model	2	0.1	-0.2713172514062603
4	model	2	0.1	-0.1841471759079082
5	model	2	0.1	-0.25258939299026506
6	model	2	0.1	-0.324750389651576
7	model	2	0.1	-0.24104345029861063
8	model	2	0.1	-0.2981575444300113
9	model	2	0.1	-0.2881998860575129
10	model	2	0.1	-0.32844013053907284
11	model	2	0.1	-0.3194044954083609
12	model	2	0.1	-0.2718885383214035
13	model	2	0.1	-0.14752996269851348
14	model	2	0.1	-0.2633267337002435
15	model	2	0.1	-0.3298584241050473
16	model	2	0.1	-0.19153864487116645
17	model	2	0.1	-0.23567840981981247
18	model	2	0.1	-0.2507903630727889
19	model	2	0.1	-0.07817813106399008
20	model	2	0.1	-0.2857248185733393
21	model	2	0.1	-0.3180520670502025
22	model	2	0.1	-0.18114633923554324
23	model	2	0.1	-0.2233214245372256
24	model	2	0.1	-0.2350762255484724
0	model	2	0.05	-0.14950801924444534
1	model	2	0.05	-0.2880748893190077
2	model	2	0.05	-0.43300540726794234
3	model	2	0.05	-0.3768061282095392
4	model	2	0.05	-0.30560554578116406
5	model	2	0.05	-0.39234611970478905
6	model	2	0.05	-0.48005847257857015
7	model	2	0.05	-0.4041826851131237
8	model	2	0.05	-0.5101487350344945
9	model	2	0.05	-0.47830558931472145
10	model	2	0.05	-0.5280592677799741
11	model	2	0.05	-0.4546512574023315
12	model	2	0.05	-0.45901551614971037
13	model	2	0.05	-0.263961351488877
14	model	2	0.05	-0.42495891039357625
15	model	2	0.05	-0.5435930466422758
16	model	2	0.05	-0.35960470545998013
17	model	2	0.05	-0.3738145442481573
18	model	2	0.05	-0.37161046994757185
19	model	2	0.05	-0.1492544915541103
20	model	2	0.05	-0.3977264169985074
21	model	2	0.05	-0.5136325837529154
22	model	2	0.05	-0.30388888849016304
23	model	2	0.05	-0.4208500647468335
24	model	2	0.05	-0.3922402541446607
